type,type_encoded,Air_Temperature,Process_Temperature,Rotational_Speed,Torque,Tool_Wear,temp_difference,power,wear_degree,Machine_Failure_Type
L,1,298.4,308.3,1318.0,59.1,22.0,9.900000000000034,77893.8,1300.2,none
M,2,298.4,308.2,1610.0,35.0,24.0,9.800000000000011,56350.0,840.0,none
L,1,298.2,308.1,1462.0,50.8,27.0,9.900000000000034,74269.59999999999,1371.6,none
M,2,298.1,308.0,1924.0,20.8,29.0,9.899999999999977,40019.200000000004,603.2,none
M,2,298.2,308.0,1591.0,33.7,32.0,9.800000000000011,53616.700000000004,1078.4,none
L,1,298.2,308.1,1306.0,58.3,35.0,9.900000000000034,76139.8,2040.5,none
L,1,298.2,308.1,1382.0,43.5,37.0,9.900000000000034,60117.0,1609.5,none
L,1,298.2,308.1,1618.0,34.7,39.0,9.900000000000034,56144.600000000006,1353.3000000000002,none
L,1,298.2,308.2,1988.0,21.4,41.0,10.0,42543.2,877.4,none
L,1,298.2,308.2,1436.0,50.2,43.0,10.0,72087.2,2158.6,none
L,1,298.2,308.3,1304.0,49.8,45.0,10.100000000000023,64939.2,2241.0,none
L,1,298.2,308.3,1475.0,49.9,47.0,10.100000000000023,73602.5,2345.2999999999997,none
H,0,298.2,308.3,1824.0,24.2,49.0,10.100000000000023,44140.799999999996,1185.8,none
M,2,298.1,308.2,1342.0,48.1,54.0,10.099999999999966,64550.200000000004,2597.4,none
L,1,298.1,308.2,1485.0,40.7,57.0,10.099999999999966,60439.50000000001,2319.9,none
L,1,298.2,308.2,1667.0,30.6,59.0,10.0,51010.200000000004,1805.4,none
L,1,298.2,308.2,1446.0,38.2,61.0,10.0,55237.200000000004,2330.2000000000003,none
L,1,298.1,308.3,1301.0,56.0,63.0,10.199999999999989,72856.0,3528.0,none
L,1,298.2,308.4,1379.0,43.1,65.0,10.199999999999989,59434.9,2801.5,none
L,1,298.3,308.5,1606.0,33.6,67.0,10.199999999999989,53961.600000000006,2251.2000000000003,none
M,2,298.3,308.4,1539.0,43.4,69.0,10.099999999999966,66792.59999999999,2994.6,none
L,1,298.2,308.4,1477.0,49.9,72.0,10.199999999999989,73702.3,3592.7999999999997,none
L,1,298.2,308.4,1666.0,34.6,74.0,10.199999999999989,57643.600000000006,2560.4,none
H,0,298.2,308.4,1398.0,51.8,76.0,10.199999999999989,72416.4,3936.7999999999997,none
H,0,298.2,308.4,1678.0,34.6,81.0,10.199999999999989,58058.8,2802.6,none
M,2,298.2,308.5,2678.0,10.7,86.0,10.300000000000011,28654.6,920.1999999999999,PWF
L,1,298.3,308.5,1453.0,42.9,89.0,10.199999999999989,62333.7,3818.1,none
H,0,298.3,308.6,1432.0,49.5,91.0,10.300000000000011,70884.0,4504.5,none
M,2,298.4,308.6,1527.0,40.9,96.0,10.200000000000045,62454.299999999996,3926.3999999999996,none
L,1,298.4,308.7,1588.0,35.0,99.0,10.300000000000011,55580.0,3465.0,none
L,1,298.4,308.6,1433.0,47.1,101.0,10.200000000000045,67494.3,4757.1,none
L,1,298.4,308.6,1609.0,35.0,103.0,10.200000000000045,56315.0,3605.0,none
L,1,298.3,308.5,1575.0,41.2,105.0,10.199999999999989,64890.00000000001,4326.0,none
M,2,298.4,308.5,1636.0,35.7,107.0,10.100000000000023,58405.200000000004,3819.9,none
L,1,298.4,308.5,1490.0,37.9,110.0,10.100000000000023,56471.0,4169.0,none
L,1,298.4,308.5,1741.0,32.8,112.0,10.100000000000023,57104.799999999996,3673.5999999999995,none
M,2,298.5,308.6,1344.0,53.0,114.0,10.100000000000023,71232.0,6042.0,none
L,1,298.5,308.7,1609.0,35.3,117.0,10.199999999999989,56797.7,4130.099999999999,none
M,2,298.4,308.7,1421.0,60.7,119.0,10.300000000000011,86254.7,7223.3,PWF
L,1,298.4,308.6,1591.0,36.7,122.0,10.200000000000045,58389.700000000004,4477.400000000001,none
L,1,298.4,308.6,1477.0,44.0,124.0,10.200000000000045,64988.0,5456.0,none
L,1,298.4,308.7,1523.0,36.1,126.0,10.300000000000011,54980.3,4548.6,none
L,1,298.5,308.7,1575.0,33.9,128.0,10.199999999999989,53392.5,4339.2,none
H,0,298.4,308.7,1344.0,52.9,130.0,10.300000000000011,71097.59999999999,6877.0,none
L,1,298.4,308.7,1386.0,44.9,135.0,10.300000000000011,62231.4,6061.5,none
M,2,298.3,308.6,1589.0,37.1,137.0,10.300000000000011,58951.9,5082.7,none
L,1,298.3,308.6,1548.0,40.3,140.0,10.300000000000011,62384.399999999994,5642.0,none
L,1,298.3,308.6,1499.0,38.3,142.0,10.300000000000011,57411.7,5438.599999999999,none
L,1,298.3,308.5,1664.0,31.6,144.0,10.199999999999989,52582.4,4550.400000000001,none
L,1,298.3,308.6,1447.0,38.1,146.0,10.300000000000011,55130.700000000004,5562.6,none
M,2,298.3,308.5,1434.0,46.2,148.0,10.199999999999989,66250.8,6837.6,none
L,1,298.3,308.5,1416.0,52.7,151.0,10.199999999999989,74623.2,7957.700000000001,none
H,0,298.4,308.5,1827.0,24.3,153.0,10.100000000000023,44396.1,3717.9,none
L,1,298.4,308.6,1304.0,45.0,158.0,10.200000000000045,58680.0,7110.0,none
L,1,298.4,308.6,1569.0,34.4,160.0,10.200000000000045,53973.6,5504.0,none
L,1,298.3,308.6,1584.0,29.3,162.0,10.300000000000011,46411.200000000004,4746.6,none
L,1,298.3,308.5,1362.0,53.8,164.0,10.199999999999989,73275.59999999999,8823.199999999999,none
L,1,298.3,308.4,1329.0,49.2,166.0,10.099999999999966,65386.8,8167.200000000001,none
L,1,298.3,308.5,1539.0,36.1,168.0,10.199999999999989,55557.9,6064.8,none
M,2,298.3,308.5,1629.0,37.1,170.0,10.199999999999989,60435.9,6307.0,none
L,1,298.3,308.5,1538.0,32.2,173.0,10.199999999999989,49523.600000000006,5570.6,none
L,1,298.3,308.6,1570.0,34.8,175.0,10.300000000000011,54635.99999999999,6089.999999999999,none
L,1,298.3,308.4,1408.0,43.1,177.0,10.099999999999966,60684.8,7628.7,none
L,1,298.2,308.4,1424.0,47.6,179.0,10.199999999999989,67782.40000000001,8520.4,none
L,1,298.2,308.4,1512.0,34.9,181.0,10.199999999999989,52768.799999999996,6316.9,none
L,1,298.2,308.4,1478.0,42.9,183.0,10.199999999999989,63406.2,7850.7,none
M,2,298.1,308.3,1680.0,33.7,185.0,10.199999999999989,56616.00000000001,6234.500000000001,none
L,1,298.1,308.3,1495.0,38.7,188.0,10.199999999999989,57856.50000000001,7275.6,none
M,2,298.0,308.1,1552.0,36.6,190.0,10.100000000000023,56803.200000000004,6954.0,none
L,1,297.9,308.1,1393.0,50.3,193.0,10.200000000000045,70067.9,9707.9,none
L,1,298.0,308.2,1611.0,30.6,195.0,10.199999999999989,49296.600000000006,5967.0,none
M,2,298.0,308.1,1339.0,51.6,197.0,10.100000000000023,69092.40000000001,10165.2,none
L,1,298.0,308.1,1777.0,24.3,200.0,10.100000000000023,43181.1,4860.0,none
L,1,298.0,308.2,1348.0,58.8,202.0,10.199999999999989,79262.4,11877.599999999999,OSF
L,1,298.0,308.2,1442.0,44.1,204.0,10.199999999999989,63592.200000000004,8996.4,none
M,2,298.0,308.2,1395.0,49.1,206.0,10.199999999999989,68494.5,10114.6,none
M,2,297.9,308.1,1627.0,31.4,209.0,10.200000000000045,51087.799999999996,6562.599999999999,none
L,1,297.9,308.1,1585.0,33.5,212.0,10.200000000000045,53097.5,7102.0,none
L,1,298.0,308.2,1469.0,45.5,214.0,10.199999999999989,66839.5,9737.0,none
L,1,298.0,308.3,1362.0,56.8,216.0,10.300000000000011,77361.59999999999,12268.8,OSF
L,1,298.0,308.3,1405.0,56.2,218.0,10.300000000000011,78961.0,12251.6,OSF
L,1,298.0,308.3,1662.0,32.7,0.0,10.300000000000011,54347.4,0.0,none
M,2,298.0,308.2,1466.0,42.6,2.0,10.199999999999989,62451.6,85.2,none
L,1,298.0,308.2,1620.0,35.8,5.0,10.199999999999989,57995.99999999999,179.0,none
L,1,298.0,308.2,1357.0,48.2,7.0,10.199999999999989,65407.4,337.40000000000003,none
L,1,298.0,308.2,1514.0,37.9,9.0,10.199999999999989,57380.6,341.09999999999997,none
L,1,298.0,308.2,1489.0,40.4,11.0,10.199999999999989,60155.6,444.4,none
L,1,298.1,308.3,1331.0,63.0,13.0,10.199999999999989,83853.0,819.0,none
L,1,298.0,308.0,1615.0,29.5,15.0,10.0,47642.5,442.5,none
L,1,298.1,308.2,1482.0,37.9,17.0,10.099999999999966,56167.799999999996,644.3,none
M,2,298.1,308.2,1420.0,63.9,19.0,10.099999999999966,90738.0,1214.1,PWF
M,2,298.2,308.3,1522.0,49.1,22.0,10.100000000000023,74730.2,1080.2,none
L,1,298.1,308.2,1654.0,32.1,25.0,10.099999999999966,53093.4,802.5,none
M,2,298.1,308.2,1736.0,26.8,27.0,10.099999999999966,46524.8,723.6,none
M,2,298.0,308.1,1587.0,32.3,30.0,10.100000000000023,51260.1,968.9999999999999,none
L,1,298.1,308.2,1390.0,47.5,33.0,10.099999999999966,66025.0,1567.5,none
L,1,298.0,308.1,1454.0,37.1,35.0,10.100000000000023,53943.4,1298.5,none
H,0,298.0,308.1,1440.0,43.7,37.0,10.100000000000023,62928.00000000001,1616.9,none
L,1,297.9,308.0,1954.0,21.1,42.0,10.100000000000023,41229.4,886.2,none
H,0,297.9,308.0,1800.0,24.8,44.0,10.100000000000023,44640.0,1091.2,none
L,1,298.0,308.0,1524.0,37.0,49.0,10.0,56388.0,1813.0,none
H,0,298.0,308.0,1520.0,39.6,51.0,10.0,60192.0,2019.6000000000001,none
M,2,298.1,308.1,1452.0,40.8,56.0,10.0,59241.6,2284.7999999999997,none
L,1,298.1,308.1,1484.0,40.4,59.0,10.0,59953.6,2383.6,none
L,1,298.1,308.0,1426.0,46.0,61.0,9.899999999999977,65596.0,2806.0,none
L,1,298.1,308.0,1652.0,28.5,63.0,9.899999999999977,47082.0,1795.5,none
L,1,298.0,308.0,1401.0,54.7,65.0,10.0,76634.7,3555.5,none
M,2,298.0,307.9,1750.0,26.6,67.0,9.899999999999977,46550.0,1782.2,none
H,0,298.0,308.0,1479.0,50.7,70.0,10.0,74985.3,3549.0,none
M,2,298.0,308.0,1620.0,29.4,75.0,10.0,47628.0,2205.0,none
L,1,298.0,308.1,1819.0,23.4,78.0,10.100000000000023,42564.6,1825.1999999999998,none
M,2,298.1,308.1,1456.0,43.7,80.0,10.0,63627.200000000004,3496.0,none
L,1,298.1,308.0,1626.0,36.5,83.0,9.899999999999977,59349.0,3029.5,none
M,2,298.1,308.1,1390.0,49.8,85.0,10.0,69222.0,4233.0,none
L,1,298.2,308.2,1469.0,43.0,88.0,10.0,63167.0,3784.0,none
L,1,298.2,308.3,2051.0,19.2,90.0,10.100000000000023,39379.2,1728.0,none
L,1,298.2,308.3,1568.0,36.0,92.0,10.100000000000023,56448.0,3312.0,none
L,1,298.2,308.3,1589.0,33.2,94.0,10.100000000000023,52754.8,3120.8,none
L,1,298.2,308.3,1805.0,31.6,96.0,10.100000000000023,57038.0,3033.6000000000004,none
H,0,298.2,308.4,1385.0,42.2,98.0,10.199999999999989,58447.00000000001,4135.6,none
L,1,298.1,308.4,1436.0,46.7,103.0,10.299999999999955,67061.2,4810.1,none
L,1,298.1,308.4,1438.0,45.6,105.0,10.299999999999955,65572.8,4788.0,none
L,1,298.0,308.3,1473.0,42.6,107.0,10.300000000000011,62749.8,4558.2,none
L,1,298.1,308.4,1335.0,40.2,109.0,10.299999999999955,53667.00000000001,4381.8,none
H,0,298.1,308.5,1392.0,44.8,111.0,10.399999999999977,62361.6,4972.799999999999,none
M,2,298.1,308.5,1372.0,51.1,116.0,10.399999999999977,70109.2,5927.6,none
M,2,298.1,308.6,1716.0,30.7,119.0,10.5,52681.2,3653.2999999999997,none
L,1,298.0,308.5,1395.0,46.2,122.0,10.5,64449.00000000001,5636.400000000001,none
L,1,298.0,308.5,1713.0,25.3,124.0,10.5,43338.9,3137.2000000000003,none
H,0,297.9,308.5,2129.0,18.7,126.0,10.600000000000023,39812.299999999996,2356.2,none
M,2,297.8,308.3,1567.0,35.6,131.0,10.5,55785.200000000004,4663.6,none
L,1,297.8,308.4,1622.0,38.3,134.0,10.599999999999966,62122.6,5132.2,none
